(157, 187)
0,32159
1,32151
2,32130
3,32103
4,32078
5,32059
6,32044
7,32033
8,32021
9,32005
10,31985
11,31962
12,31937
13,31912
14,31890
15,31872
16,31856
17,31840
18,31820
19,31795
20,31765
21,31732
22,31699
23,31671
24,31648
25,31631
26,31618
27,31608
28,31598
29,31586
30,31571
31,31552
32,31530
33,31506
34,31482
35,31458
36,31434
37,31411
38,31390
39,31371
40,31354
41,31340
42,31327
43,31317
44,31307
45,31296
46,31283
47,31265
48,31242
49,31216
50,31189
51,31165
52,31144
53,31127
54,31114
55,31102
56,31090
57,31076
58,31060
59,31042
60,31022
61,31001
62,30983
63,30966
64,30950
65,30933
66,30914
67,30893
68,30872
69,30850
70,30829
71,30809
72,30791
73,30776
74,30762
75,30750
76,30738
77,30724
78,30706
79,30684
80,30659
81,30633
82,30608
83,30585
84,30565
85,30546
86,30529
87,30511
88,30492
89,30474
90,30455
91,30439
92,30425
93,30413
94,30403
95,30394
96,30386
97,30377
98,30369
99,30361
100,30353
101,30342
102,30330
103,30314
104,30296
105,30278
106,30258
107,30237
108,30216
109,30196
110,30179
111,30168
112,30162
113,30160
114,30160
115,30157
116,30153
117,30144
118,30134
119,30121
120,30106
121,30090
122,30073
123,30058
124,30046
125,30038
126,30033
127,30028
128,30021
129,30009
130,29992
131,29971
132,29949
133,29929
134,29911
135,29897
136,29885
137,29875
138,29866
139,29855
140,29841
141,29822
142,29801
143,29779
144,29760
145,29746
146,29737
147,29732
148,29728
149,29723
150,29716
151,29705
152,29694
153,29681
154,29669
155,29656
156,29642
157,29625
158,29607
159,29588
160,29573
161,29563
162,29557
163,29555
164,29555
165,29554
166,29551
167,29545
168,29537
169,29528
170,29519
171,29510
172,29503
173,29496
174,29489
175,29482
176,29474
177,29464
178,29454
179,29443
180,29431
181,29418
182,29404
183,29390
184,29378
185,29368
186,29363
187,29361
188,29362
189,29367
190,29375
191,29385
192,29396
193,29406
194,29415
195,29421
196,29426
197,29428
198,29431
199,29435
200,29442
201,29452
202,29466
203,29481
204,29496
205,29508
206,29520
207,29531
208,29541
209,29549
210,29555
211,29558
212,29558
213,29556
214,29551
215,29544
216,29535
217,29524
218,29514
219,29504
220,29496
221,29490
222,29488
